Место,ЖКХ
Александровский МО,0.32191193
Бардымский МО,0.40445493
Березовский МО,0.48699793
Большесосновский МО,0.56954093
Верещагинский ГО,0.65208393
ГО город Березники,0.81716993
ГО город Кизел,0.89971293
Гайнский МО,0.73462693
Горнозаводский ГО,0.98225593
Губахинский МО,0.288074493
Добрянский ГО,0.114734193
Еловский МО,0.122988493
ЗАТО Звездный,0.131242793
Ильинский ГО,0.139497093
Карагайский МО,0.147751393
Кишертский МО,0.156005693
Косинский МО,0.164259993
Кочевский МО,0.172514293
Красновишерский ГО,0.180768593
Краснокамский ГО,0.189022893
Кудымкарский МО,0.197277193
Куединский МО,0.378871793
Кунгурский МО,0.213785793
Лысьвенский ГО,0.222040093
Нытвенский ГО,0.230294393
Октябрьский ГО,0.238548693
Ординский МО,0.246802993
Осинский ГО,0.255057293
Оханский ГО,0.263311593
Очерский ГО,0.271565893
Пермский ГО,0.279820193
Пермский МО,0.106479893
Сивинский МО,0.296328793
Соликамский ГО,0.304583093
Суксунский ГО,0.312837393
Уинский МО,0.321091693
Чайковский ГО,0.329345993
Частинский МО,0.337600293
Чердынский ГО,0.345854593
Чернушинский ГО,0.354108893
Чусовской ГО,0.362363193
Юрлинский МО,0.370617493
Юсьвинский МО,0.205531493
