Место,Опасные природные явления
Александровский МО,0.25588907
Бардымский МО,0.17334607
Березовский МО,0.9080307
Большесосновский МО,0.0826007
Верещагинский ГО,0.7428293
ГО город Березники,0.23936893
ГО город Кизел,0.32191193
Гайнский МО,0.15682593
Горнозаводский ГО,0.40445493
Губахинский МО,0.230294393
Добрянский ГО,0.56954093
Еловский МО,0.65208393
ЗАТО Звездный,0.73462693
Ильинский ГО,0.81716993
Карагайский МО,0.89971293
Кишертский МО,0.98225593
Косинский МО,0.106479893
Кочевский МО,0.114734193
Красновишерский ГО,0.122988493
Краснокамский ГО,0.131242793
Кудымкарский МО,0.139497093
Куединский МО,0.321091693
Кунгурский МО,0.156005693
Лысьвенский ГО,0.164259993
Нытвенский ГО,0.172514293
Октябрьский ГО,0.180768593
Ординский МО,0.189022893
Осинский ГО,0.197277193
Оханский ГО,0.205531493
Очерский ГО,0.213785793
Пермский ГО,0.222040093
Пермский МО,0.48699793
Сивинский МО,0.238548693
Соликамский ГО,0.246802993
Суксунский ГО,0.255057293
Уинский МО,0.263311593
Чайковский ГО,0.271565893
Частинский МО,0.279820193
Чердынский ГО,0.288074493
Чернушинский ГО,0.296328793
Чусовской ГО,0.304583093
Юрлинский МО,0.312837393
Юсьвинский МО,0.147751393
